0.000000	1.661259
1.464336	1.791064
2.928671	1.729132
4.393007	2.176982
5.857342	2.736698
7.321678	2.207607
8.786013	1.704772
10.250349	1.669274
11.714684	1.705153
13.179020	1.572289
14.643355	1.659938
16.107691	1.366811
17.572026	1.542918
19.036362	2.940990
20.500697	2.493715
21.965033	1.938096
23.429368	2.069176
24.893704	3.236141
26.358039	3.511441
27.822375	3.511441
29.286710	0.000000
30.751046	3.511441
32.215382	3.511441
33.679717	3.511441
35.144053	2.059912
36.608388	1.600975
38.072724	2.482101
39.537059	2.758678
41.001395	1.534224
42.465730	2.700956
43.930066	1.654688
45.394401	1.620298
46.858737	1.702630
48.323072	1.941791
49.787408	1.701519
51.251743	2.243362
52.716079	2.724680
54.180414	2.174061
55.644750	1.722197
57.109085	1.730605
58.573421	1.656769
60.037756	1.801316
61.502092	1.683085
